market,locale,countriesOrRegions,campaignName,adGroupName,keyword,matchType,searchMatch,campaignToken,appStoreLink,dailyBudgetCap,initialBidCapCpt,cpaGoal
English core,en-US,US|GB|CA|AU|NZ,Oasis English core Search Results,Sleep exact,sleep sounds,EXACT,OFF,appleads_en_sleep_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_en_sleep_exact&mt=8,10,0.8,1.5
English core,en-US,US|GB|CA|AU|NZ,Oasis English core Search Results,Sleep exact,rain sounds,EXACT,OFF,appleads_en_sleep_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_en_sleep_exact&mt=8,10,0.8,1.5
English core,en-US,US|GB|CA|AU|NZ,Oasis English core Search Results,Sleep exact,white noise,EXACT,OFF,appleads_en_sleep_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_en_sleep_exact&mt=8,10,0.8,1.5
English core,en-US,US|GB|CA|AU|NZ,Oasis English core Search Results,Sleep exact,brown noise,EXACT,OFF,appleads_en_sleep_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_en_sleep_exact&mt=8,10,0.8,1.5
English core,en-US,US|GB|CA|AU|NZ,Oasis English core Search Results,Sleep exact,sleep sound app,EXACT,OFF,appleads_en_sleep_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_en_sleep_exact&mt=8,10,0.8,1.5
English core,en-US,US|GB|CA|AU|NZ,Oasis English core Search Results,No subscription exact,sleep app no subscription,EXACT,OFF,appleads_en_no_subscription_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_en_no_subscription_exact&mt=8,10,0.8,1.5
English core,en-US,US|GB|CA|AU|NZ,Oasis English core Search Results,No subscription exact,white noise no subscription,EXACT,OFF,appleads_en_no_subscription_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_en_no_subscription_exact&mt=8,10,0.8,1.5
English core,en-US,US|GB|CA|AU|NZ,Oasis English core Search Results,No subscription exact,rain sounds no subscription,EXACT,OFF,appleads_en_no_subscription_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_en_no_subscription_exact&mt=8,10,0.8,1.5
English core,en-US,US|GB|CA|AU|NZ,Oasis English core Search Results,Focus exact,focus sounds,EXACT,OFF,appleads_en_focus_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_en_focus_exact&mt=8,10,0.8,1.5
English core,en-US,US|GB|CA|AU|NZ,Oasis English core Search Results,Focus exact,background noise focus,EXACT,OFF,appleads_en_focus_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_en_focus_exact&mt=8,10,0.8,1.5
English core,en-US,US|GB|CA|AU|NZ,Oasis English core Search Results,Focus exact,rain sounds study,EXACT,OFF,appleads_en_focus_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_en_focus_exact&mt=8,10,0.8,1.5
Francophone,fr-FR,FR|BE|CH|CA,Oasis Francophone Search Results,Sommeil exact,sons pour dormir,EXACT,OFF,appleads_fr_sommeil_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_fr_sommeil_exact&mt=8,10,0.8,1.5
Francophone,fr-FR,FR|BE|CH|CA,Oasis Francophone Search Results,Sommeil exact,bruit blanc,EXACT,OFF,appleads_fr_sommeil_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_fr_sommeil_exact&mt=8,10,0.8,1.5
Francophone,fr-FR,FR|BE|CH|CA,Oasis Francophone Search Results,Sommeil exact,pluie pour dormir,EXACT,OFF,appleads_fr_sommeil_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_fr_sommeil_exact&mt=8,10,0.8,1.5
Francophone,fr-FR,FR|BE|CH|CA,Oasis Francophone Search Results,Sommeil exact,sons de pluie,EXACT,OFF,appleads_fr_sommeil_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_fr_sommeil_exact&mt=8,10,0.8,1.5
Francophone,fr-FR,FR|BE|CH|CA,Oasis Francophone Search Results,Sans abonnement exact,app sommeil sans abonnement,EXACT,OFF,appleads_fr_sans_abonnement_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_fr_sans_abonnement_exact&mt=8,10,0.8,1.5
Francophone,fr-FR,FR|BE|CH|CA,Oasis Francophone Search Results,Sans abonnement exact,bruit blanc sans abonnement,EXACT,OFF,appleads_fr_sans_abonnement_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_fr_sans_abonnement_exact&mt=8,10,0.8,1.5
Francophone,fr-FR,FR|BE|CH|CA,Oasis Francophone Search Results,Concentration exact,sons pour se concentrer,EXACT,OFF,appleads_fr_concentration_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_fr_concentration_exact&mt=8,10,0.8,1.5
Francophone,fr-FR,FR|BE|CH|CA,Oasis Francophone Search Results,Concentration exact,bruit de fond concentration,EXACT,OFF,appleads_fr_concentration_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_fr_concentration_exact&mt=8,10,0.8,1.5
DACH,de-DE,DE|AT|CH,Oasis DACH Search Results,Schlaf exact,schlafgerausche,EXACT,OFF,appleads_de_schlaf_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_de_schlaf_exact&mt=8,10,0.8,1.5
DACH,de-DE,DE|AT|CH,Oasis DACH Search Results,Schlaf exact,regengeräusche,EXACT,OFF,appleads_de_schlaf_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_de_schlaf_exact&mt=8,10,0.8,1.5
DACH,de-DE,DE|AT|CH,Oasis DACH Search Results,Schlaf exact,weisses rauschen,EXACT,OFF,appleads_de_schlaf_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_de_schlaf_exact&mt=8,10,0.8,1.5
DACH,de-DE,DE|AT|CH,Oasis DACH Search Results,Schlaf exact,naturgeräusche,EXACT,OFF,appleads_de_schlaf_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_de_schlaf_exact&mt=8,10,0.8,1.5
DACH,de-DE,DE|AT|CH,Oasis DACH Search Results,Ohne Abo exact,schlaf app ohne abo,EXACT,OFF,appleads_de_ohne_abo_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_de_ohne_abo_exact&mt=8,10,0.8,1.5
DACH,de-DE,DE|AT|CH,Oasis DACH Search Results,Ohne Abo exact,weisses rauschen ohne abo,EXACT,OFF,appleads_de_ohne_abo_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_de_ohne_abo_exact&mt=8,10,0.8,1.5
DACH,de-DE,DE|AT|CH,Oasis DACH Search Results,Fokus exact,geräusche zum konzentrieren,EXACT,OFF,appleads_de_fokus_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_de_fokus_exact&mt=8,10,0.8,1.5
DACH,de-DE,DE|AT|CH,Oasis DACH Search Results,Fokus exact,hintergrundgeräusche fokus,EXACT,OFF,appleads_de_fokus_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_de_fokus_exact&mt=8,10,0.8,1.5
Spanish,es-ES,ES|MX|CO|AR|CL,Oasis Spanish Search Results,Dormir exact,sonidos para dormir,EXACT,OFF,appleads_es_dormir_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_es_dormir_exact&mt=8,10,0.8,1.5
Spanish,es-ES,ES|MX|CO|AR|CL,Oasis Spanish Search Results,Dormir exact,sonidos de lluvia,EXACT,OFF,appleads_es_dormir_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_es_dormir_exact&mt=8,10,0.8,1.5
Spanish,es-ES,ES|MX|CO|AR|CL,Oasis Spanish Search Results,Dormir exact,ruido blanco,EXACT,OFF,appleads_es_dormir_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_es_dormir_exact&mt=8,10,0.8,1.5
Spanish,es-ES,ES|MX|CO|AR|CL,Oasis Spanish Search Results,Dormir exact,sonidos de naturaleza,EXACT,OFF,appleads_es_dormir_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_es_dormir_exact&mt=8,10,0.8,1.5
Spanish,es-ES,ES|MX|CO|AR|CL,Oasis Spanish Search Results,Sin suscripcion exact,app dormir sin suscripcion,EXACT,OFF,appleads_es_sin_suscripcion_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_es_sin_suscripcion_exact&mt=8,10,0.8,1.5
Spanish,es-ES,ES|MX|CO|AR|CL,Oasis Spanish Search Results,Sin suscripcion exact,ruido blanco sin suscripcion,EXACT,OFF,appleads_es_sin_suscripcion_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_es_sin_suscripcion_exact&mt=8,10,0.8,1.5
Spanish,es-ES,ES|MX|CO|AR|CL,Oasis Spanish Search Results,Concentracion exact,sonidos para concentrarse,EXACT,OFF,appleads_es_concentracion_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_es_concentracion_exact&mt=8,10,0.8,1.5
Spanish,es-ES,ES|MX|CO|AR|CL,Oasis Spanish Search Results,Concentracion exact,ruido de fondo estudiar,EXACT,OFF,appleads_es_concentracion_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_es_concentracion_exact&mt=8,10,0.8,1.5
Italy,it,IT,Oasis Italy Search Results,Sonno exact,suoni per dormire,EXACT,OFF,appleads_it_sonno_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_it_sonno_exact&mt=8,10,0.8,1.5
Italy,it,IT,Oasis Italy Search Results,Sonno exact,suoni pioggia,EXACT,OFF,appleads_it_sonno_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_it_sonno_exact&mt=8,10,0.8,1.5
Italy,it,IT,Oasis Italy Search Results,Sonno exact,rumore bianco,EXACT,OFF,appleads_it_sonno_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_it_sonno_exact&mt=8,10,0.8,1.5
Italy,it,IT,Oasis Italy Search Results,Sonno exact,suoni natura,EXACT,OFF,appleads_it_sonno_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_it_sonno_exact&mt=8,10,0.8,1.5
Italy,it,IT,Oasis Italy Search Results,Senza abbonamento exact,app sonno senza abbonamento,EXACT,OFF,appleads_it_senza_abbonamento_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_it_senza_abbonamento_exact&mt=8,10,0.8,1.5
Italy,it,IT,Oasis Italy Search Results,Senza abbonamento exact,rumore bianco senza abbonamento,EXACT,OFF,appleads_it_senza_abbonamento_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_it_senza_abbonamento_exact&mt=8,10,0.8,1.5
Italy,it,IT,Oasis Italy Search Results,Focus exact,suoni per concentrarsi,EXACT,OFF,appleads_it_focus_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_it_focus_exact&mt=8,10,0.8,1.5
Italy,it,IT,Oasis Italy Search Results,Focus exact,rumore di fondo studio,EXACT,OFF,appleads_it_focus_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_it_focus_exact&mt=8,10,0.8,1.5
Brazil,pt-BR,BR,Oasis Brazil Search Results,Sono exact,sons para dormir,EXACT,OFF,appleads_ptbr_sono_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_ptbr_sono_exact&mt=8,10,0.8,1.5
Brazil,pt-BR,BR,Oasis Brazil Search Results,Sono exact,sons de chuva,EXACT,OFF,appleads_ptbr_sono_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_ptbr_sono_exact&mt=8,10,0.8,1.5
Brazil,pt-BR,BR,Oasis Brazil Search Results,Sono exact,ruido branco,EXACT,OFF,appleads_ptbr_sono_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_ptbr_sono_exact&mt=8,10,0.8,1.5
Brazil,pt-BR,BR,Oasis Brazil Search Results,Sono exact,sons da natureza,EXACT,OFF,appleads_ptbr_sono_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_ptbr_sono_exact&mt=8,10,0.8,1.5
Brazil,pt-BR,BR,Oasis Brazil Search Results,Sem assinatura exact,app sono sem assinatura,EXACT,OFF,appleads_ptbr_sem_assinatura_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_ptbr_sem_assinatura_exact&mt=8,10,0.8,1.5
Brazil,pt-BR,BR,Oasis Brazil Search Results,Sem assinatura exact,ruido branco sem assinatura,EXACT,OFF,appleads_ptbr_sem_assinatura_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_ptbr_sem_assinatura_exact&mt=8,10,0.8,1.5
Brazil,pt-BR,BR,Oasis Brazil Search Results,Foco exact,sons para concentrar,EXACT,OFF,appleads_ptbr_foco_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_ptbr_foco_exact&mt=8,10,0.8,1.5
Brazil,pt-BR,BR,Oasis Brazil Search Results,Foco exact,ruido de fundo estudar,EXACT,OFF,appleads_ptbr_foco_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_ptbr_foco_exact&mt=8,10,0.8,1.5
